"","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track.duration_ms","track.explicit","track.name","track.popularity","track.album.release_date","track.album.release_date_precision","key_name","mode_name","key_mode","genre"
"14","Blues Classics",0.572,0.348,0,-13.454,1,0.0294,0.44,0.000721,0.235,0.34,73.304,4,275266,FALSE,"Feels Like Rain (feat. Bonnie Raitt)",56,"1993-03-01","day","C","major","C major","blues"
"15","Blues Classics",0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,4,293733,FALSE,"Chains And Things",56,"1970-01-01","day","E","minor","E minor","blues"
"16","Blues Classics",0.563,0.781,3,-3.436,1,0.0968,0.637,1.42e-05,0.334,0.776,118.043,3,176747,FALSE,"Somebody Loan Me A Dime - Remastered",56,"1974-09-01","day","D#","major","D# major","blues"
"17","Blues Classics",0.548,0.874,8,-10.147,1,0.0463,0.279,0.0463,0.173,0.966,172.129,4,141933,FALSE,"Love Struck Baby",55,"1983","year","G#","major","G# major","blues"
"18","Blues Classics",0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,3,412960,FALSE,"Have You Ever Loved A Woman?",55,"1970-11-01","day","C","major","C major","blues"
"19","Blues Classics",0.713,0.281,3,-11.057,0,0.0379,0.137,0.0258,0.111,0.397,148.301,3,318840,FALSE,"Cold, Cold Feeling",55,"1978","year","D#","minor","D# minor","blues"
"20","Blues Classics",0.449,0.412,2,-7.19,1,0.0297,0.581,7.01e-06,0.452,0.432,144.185,3,178440,FALSE,"Do Right Woman, Do Right Man",54,"2011-10-18","day","D","major","D major","blues"
"21","Blues Classics",0.542,0.502,3,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,4,289560,FALSE,"Leaving Trunk",54,"1968","year","D#","minor","D# minor","blues"
"22","Blues Classics",0.595,0.525,11,-11.582,0,0.0499,0.3,3.15e-05,0.197,0.826,124.569,4,192200,FALSE,"Love Me Like a Man - 2008 Remaster",54,"1972","year","B","minor","B minor","blues"
"23","Blues Classics",0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,3,314880,FALSE,"Be Careful With a Fool",54,"1969","year","G","minor","G minor","blues"
"24","Blues Classics",0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,3,271653,FALSE,"Damn Right, I've Got the Blues",54,"1991","year","D","major","D major","blues"
"25","Blues Classics",0.321,0.625,2,-5.219,0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,4,212600,FALSE,"All Your Love - Stereo",54,"1966-06-22","day","D","minor","D minor","blues"
"26","Blues Classics",0.629,0.0192,4,-19.952,1,0.0833,0.989,4.3e-05,0.106,0.335,169.254,4,188160,FALSE,"Rollin' Stone",53,"1989-11-07","day","E","major","E major","blues"
"27","Blues Classics",0.457,0.412,7,-11.138,0,0.0369,0.0516,4.35e-05,0.275,0.44,129.423,4,172693,FALSE,"Black Magic Woman - 2018 Master",53,"1969-08-15","day","G","minor","G minor","blues"
"28","Blues Classics",0.792,0.495,0,-11.603,1,0.0527,0.239,0.00175,0.074,0.719,118.066,4,517400,FALSE,"Why I Sing The Blues",53,"1969-01-01","day","C","major","C major","blues"
"29","Blues Classics",0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,4,147800,FALSE,"Working Man",53,"2005-02-08","day","C","major","C major","blues"
"30","Blues Classics",0.775,0.499,4,-7.181,1,0.0415,0.496,0.0219,0.114,0.862,121.056,4,232706,FALSE,"Scratch My Back",52,"1979","year","E","major","E major","blues"
"31","Blues Classics",0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,4,253333,FALSE,"I'm Tore Down",52,"1971","year","D","major","D major","blues"
"32","Blues Classics",0.378,0.756,7,-11.073,1,0.0673,0.436,0.0351,0.867,0.838,131.577,4,255600,FALSE,"Crossroads - Live",52,"1995-03-07","day","G","major","G major","blues"
"33","Blues Classics",0.67,0.174,11,-15.902,1,0.0635,0.841,0.00505,0.117,0.386,149.1,4,190920,FALSE,"Boogie Chillen'",52,"1992-08-28","day","B","major","B major","blues"
"34","Blues Classics",0.517,0.795,4,-9.633,1,0.0594,0.585,0.00375,0.226,0.875,113.534,4,172059,FALSE,"Got My Mojo Working",53,"1989-11-07","day","E","major","E major","blues"
"35","Blues Classics",0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,3,166400,FALSE,"The Sky Is Crying",52,"2001-04-03","day","D","major","D major","blues"
"36","Blues Classics",0.537,0.695,11,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,4,295693,FALSE,"T-Bone Shuffle",51,"1997-09-09","day","B","major","B major","blues"
"37","Blues Classics",0.872,0.384,0,-16.204,1,0.0388,0.418,0.317,0.0687,0.938,102.597,4,515000,FALSE,"To Know You Is To Love You",53,"1973-01-01","day","C","major","C major","blues"
"38","Blues Classics",0.639,0.496,1,-6.844,0,0.0375,0.713,0.254,0.0545,0.467,140.394,3,445533,FALSE,"Bad News Is Coming",51,"2001-01-01","day","C#","minor","C# minor","blues"
"39","Blues Classics",0.779,0.155,5,-21.57,1,0.112,0.856,7.82e-06,0.0974,0.696,103.251,4,192706,FALSE,"Junker's Blues",51,"1958","year","F","major","F major","blues"
"40","Blues Classics",0.678,0.612,4,-9.764,1,0.0339,0.101,0.318,0.164,0.857,118.381,4,216626,FALSE,"Stumble",50,"1969","year","E","major","E major","blues"
"41","Blues Classics",0.566,0.657,4,-10.33,1,0.0693,0.751,0.896,0.156,0.643,145.359,4,164893,FALSE,"Juke",50,"1993-06-08","day","E","major","E major","blues"
"42","Blues Classics",0.648,0.544,1,-8.963,1,0.179,0.343,2.93e-06,0.087,0.619,153.063,4,182826,FALSE,"Wang Dang Doodle",50,"1987-01-01","day","C#","major","C# major","blues"
"43","Blues Classics",0.84,0.412,1,-14.23,1,0.056,0.0217,0.784,0.041,0.963,122.807,4,156397,FALSE,"Crosscut Saw - Mono Mix",50,"1967-01-01","day","C#","major","C# major","blues"
"44","Blues Classics",0.621,0.519,11,-13.328,0,0.102,0.837,0.00246,0.162,0.775,117.005,4,167266,FALSE,"Walking By Myself",49,"1976-02-03","day","B","minor","B minor","blues"
"45","Blues Classics",0.73,0.235,0,-15.276,1,0.0355,0.527,0.0112,0.0663,0.624,87.226,4,247373,FALSE,"Mean Old World",49,"2005-03-29","day","C","major","C major","blues"
"46","Blues Classics",0.556,0.567,9,-11.426,0,0.0333,0.0581,0.00143,0.0907,0.858,141.345,4,227751,FALSE,"Trouble No More",49,"1969-11-04","day","A","minor","A minor","blues"
"47","Blues Classics",0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,4,399173,FALSE,"I Can't Quit You Baby",49,"1947","year","G","major","G major","blues"
"48","Blues Classics",0.447,0.464,2,-11.622,1,0.12,0.807,0.000118,0.249,0.62,175.465,3,431853,FALSE,"Stone Crazy",48,"1970-01-01","day","D","major","D major","blues"
"49","Blues Classics",0.56,0.73,1,-5.69,1,0.0362,0.219,0.144,0.179,0.963,151.594,4,194666,FALSE,"Big Chief - Remastered",47,"1980","year","C#","major","C# major","blues"
"50","Blues Classics",0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,4,187600,FALSE,"Call It Stormy Monday",48,"2005-03-29","day","C","major","C major","blues"
"51","Blues Classics",0.502,0.753,11,-9.625,0,0.0395,0.142,0.00824,0.0891,0.927,122.656,4,367533,FALSE,"Sadie",47,"1994-07-26","day","B","minor","B minor","blues"
"52","Blues Classics",0.489,0.747,10,-8.295,1,0.101,0.0655,9.82e-05,0.0422,0.626,109.799,3,274440,FALSE,"I'm A Woman - Remastered",47,"2021-06-18","day","A#","major","A# major","blues"
"53","Blues Classics",0.705,0.483,1,-12.209,1,0.0542,0.15,0.0265,0.202,0.713,122.863,4,181786,FALSE,"She's A Sweet One",47,"1957","year","C#","major","C# major","blues"
"54","Blues Classics",0.686,0.593,0,-10.078,1,0.0597,0.468,2.19e-05,0.352,0.946,92.82,4,161520,FALSE,"Part Time Love",47,"1968","year","C","major","C major","blues"
"55","Blues Classics",0.433,0.7,11,-8.197,1,0.163,0.843,0.324,0.102,0.8,80.623,4,176186,FALSE,"All Your Love",47,"2001","year","B","major","B major","blues"
"56","Blues Classics",0.536,0.723,8,-13.898,0,0.0415,0.165,0.00812,0.288,0.916,126.737,4,210493,FALSE,"Ain't Got Nobody",47,"1982-01-15","day","G#","minor","G# minor","blues"
"57","Blues Classics",0.584,0.278,4,-18.566,1,0.0312,0.55,0.21,0.255,0.75,81.712,4,215026,FALSE,"Little Red Rooster",47,"1947","year","E","major","E major","blues"
"58","Blues Classics",0.303,0.492,0,-10.716,1,0.039,0.197,0.63,0.288,0.677,200.018,3,414960,FALSE,"Albert's Shuffle",46,"1984","year","C","major","C major","blues"
"59","Blues Classics",0.693,0.454,10,-10.275,0,0.03,0.417,0.000315,0.156,0.914,112.214,4,183133,FALSE,"I'm A King Bee",46,"1997-11-04","day","A#","minor","A# minor","blues"
"60","Blues Classics",0.767,0.496,10,-11.399,1,0.0307,0.237,0.0723,0.0853,0.751,110.932,4,252133,FALSE,"Short Dressed Woman",46,"1978","year","A#","major","A# major","blues"
"61","Blues Classics",0.49,0.338,2,-13.657,1,0.2,0.472,4.31e-06,0.109,0.463,140.533,3,362400,FALSE,"Now That I'm Down",45,"1973-06-01","day","D","major","D major","blues"
"62","Blues Classics",0.523,0.568,9,-12.584,1,0.0751,0.652,0.00534,0.1,0.813,135.448,4,259760,FALSE,"Two Bugs and a Roach",45,"1990-01-01","day","A","major","A major","blues"
"63","Blues Classics",0.566,0.424,7,-8.689,0,0.0392,0.669,0.00456,0.175,0.431,105.768,1,163440,FALSE,"Double Trouble",45,"1956","year","G","minor","G minor","blues"
"64","Blues Classics",0.554,0.49,9,-8.725,1,0.0267,0.736,0.00728,0.327,0.578,67.591,4,232453,FALSE,"Mean Mistreater",45,"1969","year","A","major","A major","blues"
"65","Blues Classics",0.636,0.668,0,-6.857,1,0.0568,0.749,0.00121,0.0555,0.666,94.668,4,189133,FALSE,"Reconsider Baby",44,"1997-01-01","day","C","major","C major","blues"
"66","Blues Classics",0.638,0.738,9,-9.563,1,0.0271,0.0315,0.000634,0.211,0.816,104.098,3,304600,FALSE,"Should I Wait",44,"2013-08-06","day","A","major","A major","blues"
"67","Blues Classics",0.705,0.401,9,-9.506,0,0.0475,0.812,0,0.319,0.649,104.956,4,167226,FALSE,"Let The Good Times Roll",44,"1975-01-01","day","A","minor","A minor","blues"
"68","Blues Classics",0.642,0.708,9,-13.402,1,0.0543,0.0346,0.0103,0.0844,0.775,108.143,4,215800,FALSE,"Give Me Back My Wig",44,"1971-08-01","day","A","major","A major","blues"
"69","Blues Classics",0.467,0.277,8,-12.101,1,0.0283,0.89,7.66e-05,0.2,0.535,99.83,3,163373,FALSE,"Texas Flood",44,"1992-02-16","day","G#","major","G# major","blues"
"70","Blues Classics",0.48,0.303,5,-13.675,1,0.0384,0.812,0,0.0889,0.643,98.282,3,180453,FALSE,"The Things That I Used To Do",43,"1991-01-01","day","F","major","F major","blues"
"71","Blues Standards",0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,4,152350,FALSE,"Boom Boom",63,"1962-01-01","day","A#","major","A# major","blues"
"72","Blues Standards",0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,4,188200,FALSE,"Help Me",61,"1966-08-03","day","F","minor","F minor","blues"
"73","Blues Standards",0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,4,169997,FALSE,"Born Under A Bad Sign - Mono Mix",60,"1967-01-01","day","B","major","B major","blues"
"74","Blues Standards",0.391,0.756,7,-11.317,1,0.0648,0.413,0.0418,0.879,0.839,131.648,4,258466,FALSE,"Crossroads - Live",57,"1968-07-01","day","G","major","G major","blues"
"75","Blues Standards",0.563,0.781,3,-3.436,1,0.0968,0.637,1.42e-05,0.334,0.776,118.043,3,176747,FALSE,"Somebody Loan Me A Dime - Remastered",56,"1974-09-01","day","D#","major","D# major","blues"
"76","Blues Standards",0.482,0.328,9,-12.076,1,0.0401,0.89,0,0.0827,0.436,116.687,1,158200,FALSE,"Nobody Knows You When You're Down And Out",56,"1965-10-01","day","A","major","A major","blues"
"77","Blues Standards",0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,3,238533,FALSE,"I'm Your Hoochie Coochie Man",55,"1977","year","D","major","D major","blues"
"78","Blues Standards",0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,4,147800,FALSE,"Working Man",53,"2005-02-08","day","C","major","C major","blues"
"79","Blues Standards",0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,3,166400,FALSE,"The Sky Is Crying",52,"2001-04-03","day","D","major","D major","blues"
"80","Blues Standards",0.561,0.681,9,-7.633,0,0.0299,0.16,0.0132,0.106,0.62,87.262,4,301453,FALSE,"The Thrill Is Gone",51,"2005-01-01","day","A","minor","A minor","blues"
"81","Blues Standards",0.721,0.62,9,-9.775,1,0.0326,0.379,4.31e-05,0.344,0.644,118.696,4,172826,FALSE,"Killing Floor",50,"1966-01-11","day","A","major","A major","blues"
"82","Blues Standards",0.311,0.67,9,-5.074,1,0.0368,0.353,0.22,0.14,0.289,127.818,4,480133,FALSE,"Catfish Blues - Live",47,"2014-09-19","day","A","major","A major","blues"
"83","Blues Standards",0.672,0.643,10,-5.361,1,0.0364,0.798,1.49e-05,0.0744,0.807,115.566,3,148826,FALSE,"Backlash Blues",49,"1967","year","A#","major","A# major","blues"
"84","Blues Standards",0.682,0.573,7,-12.5,1,0.0303,0.0299,0.000246,0.108,0.97,126.58,4,191093,FALSE,"Rollin' And Tumblin'",45,"1967-01-01","day","G","major","G major","blues"
"85","Blues Standards",0.66,0.53,1,-6.64,1,0.0365,0.519,2.52e-05,0.0947,0.539,112.251,4,167466,FALSE,"Spoonful - Single Version",45,"1960","year","C#","major","C# major","blues"
"86","Blues Standards",0.507,0.66,2,-4.957,1,0.0306,0.0115,0.336,0.322,0.696,100.783,4,175040,FALSE,"Dust My Broom",44,"2001-04-03","day","D","major","D major","blues"
"87","Blues Standards",0.248,0.672,6,-7.523,1,0.0553,0.0144,0.294,0.151,0.479,185.875,3,294373,FALSE,"The Things (That) I Used to Do",44,"2002-08-27","day","F#","major","F# major","blues"
"88","Blues Standards",0.351,0.321,4,-12.563,0,0.0404,0.755,6.47e-06,0.14,0.315,146.903,3,200733,FALSE,"Trouble Blues",44,"1963-08","month","E","minor","E minor","blues"
"89","Blues Standards",0.508,0.248,4,-13.409,1,0.0348,0.642,4.49e-05,0.291,0.497,74.283,4,170373,FALSE,"That's All Right - 1950 Single Version",42,"1976-02-03","day","E","major","E major","blues"
"90","Blues Standards",0.518,0.223,5,-13.805,1,0.0338,0.459,0.000161,0.0479,0.34,143.628,3,264800,FALSE,"Stormy Monday",42,"1969","year","F","major","F major","blues"
"91","Blues Standards",0.631,0.238,0,-14.54,1,0.0849,0.662,0.000411,0.079,0.554,80.007,3,330893,FALSE,"Sweet Little Angel",40,"1989-01-01","day","C","major","C major","blues"
"92","Blues Standards",0.462,0.261,4,-14.986,1,0.0545,0.673,0.629,0.126,0.405,168.166,3,314373,FALSE,"It Hurts Me Too",40,"1972-01-07","day","E","major","E major","blues"
"93","Blues Standards",0.678,0.27,7,-14.12,1,0.0349,0.83,0.00128,0.186,0.705,79.472,4,163813,FALSE,"Key To The Highway",40,"1969-08-07","day","G","major","G major","blues"
"94","Blues Standards",0.5,0.246,10,-14.924,1,0.0455,0.699,0.0314,0.131,0.35,70.561,4,317000,FALSE,"How Long Blues",40,"2005-03-29","day","A#","major","A# major","blues"
"95","Blues Standards",0.384,0.491,3,-11.284,1,0.0465,0.674,7.33e-05,0.73,0.393,113.172,1,254165,FALSE,"Baby, What You Want Me To Do - Live At The New Era Club,1963",40,"1963-12-13","day","D#","major","D# major","blues"
"96","Blues Standards",0.597,0.64,9,-7.719,1,0.0427,0.588,0,0.526,0.823,92.422,4,171826,FALSE,"Little Red Rooster",39,"1963-08","month","A","major","A major","blues"
"97","Blues Standards",0.579,0.581,9,-7.138,1,0.0323,0.713,0.000124,0.171,0.836,102.164,4,199960,FALSE,"Walkin' Blues",39,"1966","year","A","major","A major","blues"
"98","Blues Standards",0.744,0.354,10,-13.479,0,0.044,0.789,0,0.0856,0.683,121.001,4,184906,FALSE,"I'm Ready",39,"1989-11-07","day","A#","minor","A# minor","blues"
"99","Blues Standards",0.473,0.318,1,-10.914,1,0.0296,0.699,0.000226,0.114,0.554,95.841,4,144400,FALSE,"Mystery Train - Remastered 2022",39,"2023-03-24","day","C#","major","C# major","blues"
"100","Blues Standards",0.514,0.396,10,-10.466,1,0.0427,0.452,0,0.436,0.768,104.984,4,177306,FALSE,"Farther Up The Road",39,"1992-12-22","day","A#","major","A# major","blues"
"101","Blues Standards",0.437,0.288,5,-10.797,1,0.0472,0.841,0.0039,0.131,0.182,178.593,3,274840,FALSE,"Nobody Knows You When You're Down And Out",39,"1999-01-01","day","F","major","F major","blues"
"102","Blues Standards",0.525,0.638,0,-13.989,1,0.111,0.602,0.00256,0.0986,0.819,165.477,4,482626,FALSE,"Got My Mojo Workin'",38,"1965-06-07","day","C","major","C major","blues"
"103","Blues Standards",0.292,0.621,4,-7.543,0,0.0446,0.0747,0.000207,0.12,0.699,187.073,3,287933,FALSE,"Five Long Years",38,"1994-09-13","day","E","minor","E minor","blues"
"104","Blues Standards",0.462,0.766,1,-6.509,0,0.0482,0.814,0.0628,0.137,0.628,127.453,4,158200,FALSE,"All Your Love",38,"1999-01-14","day","C#","minor","C# minor","blues"
"105","Blues Standards",0.578,0.504,9,-14.441,1,0.0408,0.457,0.0041,0.0942,0.741,117.375,4,256533,FALSE,"Sweet Home Chicago",38,"1967","year","A","major","A major","blues"
"106","Blues Standards",0.611,0.131,0,-13.966,1,0.0416,0.993,0.0159,0.0993,0.543,115.005,4,175293,FALSE,"Worried Life Blues",38,"1992-01-01","day","C","major","C major","blues"
"107","Blues Standards",0.609,0.447,5,-12.999,0,0.0544,0.176,0.000516,0.134,0.913,149.684,4,174560,FALSE,"Caldonia",37,"1990-01-01","day","F","minor","F minor","blues"
"108","Blues Standards",0.757,0.441,0,-15.771,1,0.0325,0.739,0.558,0.141,0.59,140.141,4,170000,FALSE,"Forty Four",37,"1958-03-01","day","C","major","C major","blues"
"109","Blues Standards",0.427,0.518,2,-10.283,1,0.0389,0.839,0.00194,0.271,0.647,78.425,4,187773,FALSE,"Blues With A Feeling",37,"1993-06-08","day","D","major","D major","blues"
"110","Blues Standards",0.681,0.433,10,-12.14,0,0.0566,0.663,7.79e-06,0.0792,0.556,74.971,4,160893,FALSE,"I Pity The Fool",38,"1992-12-22","day","A#","minor","A# minor","blues"
"111","Blues Standards",0.592,0.933,7,-5.319,1,0.0477,0.0248,0.00225,0.193,0.622,98.33,4,214320,FALSE,"Dirt Road Blues - 2022 Remix",36,"2023-01-26","day","G","major","G major","blues"
"112","Blues Standards",0.388,0.674,7,-11.495,1,0.0721,0.0342,0.305,0.23,0.758,144.338,4,159866,FALSE,"I'm a Man",36,"1965","year","G","major","G major","blues"
"113","Blues Standards",0.84,0.601,8,-8.706,1,0.0431,0.089,0.551,0.0333,0.969,122.496,4,154813,FALSE,"Crosscut Saw",36,"2007-01-01","day","G#","major","G# major","blues"
"114","Blues Standards",0.468,0.276,5,-14.411,0,0.0462,0.469,0.000201,0.0627,0.705,185.579,3,239133,FALSE,"Reconsider Baby",35,"1972-01-01","day","F","minor","F minor","blues"
"115","Blues Standards",0.487,0.349,5,-10.079,1,0.0275,0.803,0.000451,0.235,0.648,73.546,4,175466,FALSE,"Mean Old World",36,"1993-06-08","day","F","major","F major","blues"
"116","Blues Standards",0.573,0.722,3,-3.724,1,0.0418,0.676,3.23e-05,0.194,0.68,104.841,4,169706,FALSE,"Everyday I Have The Blues",35,"1957-01-01","day","D#","major","D# major","blues"
"117","Blues Standards",0.533,0.29,5,-11.551,1,0.0352,0.91,0.343,0.103,0.421,104.346,3,173160,FALSE,"Trouble In Mind",35,"1957-01-01","day","F","major","F major","blues"
"118","Blues Standards",0.372,0.478,10,-6.785,1,0.0435,0.335,9.18e-06,0.284,0.368,173.032,3,225733,FALSE,"(You've Got To) Love Her With A Feeling",35,"2003-09-22","day","A#","major","A# major","blues"
"119","Blues Standards",0.555,0.266,8,-16.968,1,0.0568,0.654,0,0.0856,0.782,108.113,4,236360,FALSE,"Stack-O-Lee",34,"1958","year","G#","major","G# major","blues"
"120","Blues Standards",0.437,0.455,7,-7.054,1,0.0514,0.699,1.16e-06,0.23,0.373,171.889,3,206933,FALSE,"Driftin' Blues",33,"2001-06-05","day","G","major","G major","blues"
"121","Blues Standards",0.361,0.52,9,-8.702,1,0.0461,0.858,0.000117,0.329,0.584,185.832,3,187173,FALSE,"I Can't Quit You Baby",33,"1956-10-29","day","A","major","A major","blues"
"122","Blues Standards",0.557,0.699,5,-8.401,0,0.0385,0.358,0.00453,0.0362,0.949,159.719,4,170866,FALSE,"Worried Life Blues",33,"1995-01-01","day","F","minor","F minor","blues"
"123","Blues Standards",0.715,0.575,2,-8.802,1,0.116,0.322,0.00065,0.119,0.919,78.155,4,183800,FALSE,"(I Think) Drowning on Dry Land",33,"1967","year","D","major","D major","blues"
"124","Blues Standards",0.555,0.885,7,-5.953,1,0.0652,0.717,9.58e-05,0.359,0.893,118.612,4,151960,FALSE,"Kansas City",32,"1975","year","G","major","G major","blues"
"125","Blues Standards",0.563,0.472,1,-8.524,1,0.0299,0.819,8.18e-06,0.232,0.595,121.671,1,147840,FALSE,"One Night - Remastered",32,"2002-01-01","day","C#","major","C# major","blues"
"126","Blues Standards",0.487,0.143,0,-13.909,1,0.0412,0.881,2.74e-06,0.142,0.293,135.472,4,173666,FALSE,"Please Send Me Someone To Love",29,"1990-01-01","day","C","major","C major","blues"
"127","Blues Standards",0.495,0.258,8,-16.235,1,0.0366,0.814,0.0677,0.0916,0.0767,92.434,4,218053,FALSE,"Ain't Nobody's Business",24,"1947-04-22","day","G#","major","G# major","blues"
"128","Blues Standards",0.764,0.25,2,-10.906,0,0.0377,0.943,0.000143,0.136,0.679,78.433,4,189466,FALSE,"See See Rider Blues",0,"2015-06-25","day","D","minor","D minor","blues"
"129","Electric Blues Classics",0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,4,161560,FALSE,"Johnny B. Goode",78,"1959-07-01","day","A#","major","A# major","blues"
"130","Electric Blues Classics",0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,4,176333,FALSE,"Green Onions",72,"1962","year","A#","major","A# major","blues"
"131","Electric Blues Classics",0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,4,219586,FALSE,"Pride and Joy",68,"1983","year","G#","major","G# major","blues"
"132","Electric Blues Classics",0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,4,324733,FALSE,"The Thrill Is Gone",65,"1969-12-05","day","B","minor","B minor","blues"
"133","Electric Blues Classics",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,3,321133,FALSE,"Mannish Boy",64,"1977","year","D","major","D major","blues"
"134","Electric Blues Classics",0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4,188400,FALSE,"Smokestack Lightnin'",64,"1958-03-01","day","A","minor","A minor","blues"
"135","Electric Blues Classics",0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,4,169997,FALSE,"Born Under A Bad Sign - Mono Mix",60,"1967-01-01","day","B","major","B major","blues"
"136","Electric Blues Classics",0.746,0.56,5,-14.789,1,0.0565,0.494,0,0.316,0.854,124.68,4,184960,FALSE,"One Bourbon, One Scotch, One Beer",59,"1966-01-01","day","F","major","F major","blues"
"137","Electric Blues Classics",0.621,0.693,8,-8.755,1,0.0407,0.579,0.000295,0.0634,0.896,112.439,4,251306,FALSE,"Lie To Me",54,"1997","year","G#","major","G# major","blues"
"138","Electric Blues Classics",0.542,0.502,3,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,4,289560,FALSE,"Leaving Trunk",54,"1968","year","D#","minor","D# minor","blues"
"139","Electric Blues Classics",0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,3,320906,FALSE,"Texas Flood",58,"1983","year","F#","major","F# major","blues"
"140","Electric Blues Classics",0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,3,238533,FALSE,"I'm Your Hoochie Coochie Man",55,"1977","year","D","major","D major","blues"
